Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Lebanon,18,,20.00,15.40,11.70,-0.40,195.20,-31.50,5.40
Nicaragua,18,,6.75,3.72,2.80,2.90,41.70,7.70,6.80
Niger,17,,5.50,3.80,0.50,-6.30,51.20,-12.80,27.20
Palestine,17,,,88.93,30.70,2.70,21.70,-16.70,5.40
Moldova,17,-3.10,3.60,5.40,3.60,-5.20,34.60,-11.90,2.51
Guyana,17,,5.00,3.20,14.00,-5.80,26.40,18.00,0.78
Madagascar,16,,9.50,7.80,1.80,-4.50,38.20,-4.50,30.30
Laos,16,,10.50,18.32,1.20,-0.60,74.15,1.20,7.44
Macedonia,15,0.80,5.55,4.30,12.30,-4.80,50.00,-1.40,1.83
Republic of the Congo,15,,5.00,2.10,19.80,4.20,96.46,3.50,6.11
Afghanistan,15,,14.94,-5.10,15.40,-4.80,10.90,-17.30,34.90
Brunei,15,,5.50,-0.50,5.30,1.10,2.30,10.60,0.45
Bahamas,14,,4.00,-0.80,9.50,-3.80,81.50,-9.50,0.41
Rwanda,14,3.00,6.50,3.40,15.30,-7.00,62.10,-11.70,13.25
Mauritius,14,1.80,4.00,3.40,5.90,-5.70,80.20,-5.60,1.26
Malawi,14,,26.00,27.00,5.00,-2.80,81.30,-16.50,19.90
Kyrgyzstan,14,,9.00,5.70,2.00,-1.10,63.30,-48.30,7.16
Chad,13,,5.00,9.00,1.00,4.00,35.10,1.70,18.28
Equatorial Guinea,12,,5.00,2.50,8.50,0.80,42.40,0.90,1.71
Namibia,12,-2.03,7.00,3.00,19.60,-3.20,65.30,-15.00,2.64
Tajikistan,12,,9.00,3.60,6.90,1.40,30.90,-3.70,10.28
Somalia,12,,,5.20,,,,,18.10
South Sudan,12,,12.00,107.30,12.00,,,,11.09
New Caledonia,10,,4.00,0.90,10.80,,,,2.75
Kosovo,10,,,0.70,10.90,0.20,17.52,-7.60,1.76
Mauritania,10,,8.00,2.50,10.63,-1.30,42.50,-9.00,4.86
Monaco,9,,,,,,,,0.04
Syria,9,,,120.40,13.50,-11.40,30.01,-0.90,23.23
Togo,9,,5.50,1.30,3.70,-7.00,25.70,-4.10,9.05
Maldives,7,,7.00,4.05,4.20,-13.80,54.20,-16.40,0.59
Liechtenstein,7,,,0.70,1.40,,,,0.04
